date,daily_case
2020-03-01,2
2020-03-02,2
2020-03-03,2
2020-03-04,2
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,2
2020-03-13,4
2020-03-14,2
2020-03-15,8
2020-03-16,2
2020-03-17,2
2020-03-18,1
2020-03-19,2
2020-03-20,5
2020-03-21,8
2020-03-22,2
2020-03-23,0
2020-03-24,16
2020-03-25,1
2020-03-26,57
2020-03-27,74
2020-03-28,48
2020-03-29,52
2020-03-30,33
2020-03-31,44
2020-04-01,59
2020-04-02,70
2020-04-03,71
2020-04-04,57
2020-04-05,87
2020-04-06,103
2020-04-07,113
2020-04-08,90
2020-04-09,228
2020-04-10,53
2020-04-11,190
2020-04-12,156
2020-04-13,135
2020-04-14,122
2020-04-15,143
2020-04-16,174
2020-04-17,170
2020-04-18,101
2020-04-19,113
2020-04-20,74
2020-04-21,183
2020-04-22,110
2020-04-23,122
2020-04-24,78
2020-04-25,78
2020-04-26,104
2020-04-27,66
2020-04-28,124
2020-04-29,110
2020-04-30,106
2020-05-01,135
2020-05-02,92
2020-05-03,129
2020-05-04,80
2020-05-05,132
2020-05-06,106
2020-05-07,82
2020-05-08,96
2020-05-09,98
2020-05-10,125
2020-05-11,81
2020-05-12,96
2020-05-13,180
2020-05-14,135
2020-05-15,86
2020-05-16,101
2020-05-17,127
2020-05-18,79
2020-05-19,94
2020-05-20,84
2020-05-21,70
2020-05-22,106
2020-05-23,111
2020-05-24,112
2020-05-25,76
2020-05-26,87
2020-05-27,109
2020-05-28,100
2020-05-29,125
2020-05-30,108
2020-05-31,113
2020-06-01,157
2020-06-02,59
2020-06-03,91
2020-06-04,109
2020-06-05,70
2020-06-06,117
2020-06-07,168
2020-06-08,90
2020-06-09,239
2020-06-10,166
2020-06-11,131
2020-06-12,92
2020-06-13,121
2020-06-14,118
2020-06-15,141
2020-06-16,97
2020-06-17,122
2020-06-18,171
2020-06-19,133
2020-06-20,189
2020-06-21,141
2020-06-22,123
2020-06-23,160
2020-06-24,152
2020-06-25,181
2020-06-26,197
2020-06-27,192
2020-06-28,132
2020-06-29,122
2020-06-30,182
2020-07-01,215
2020-07-02,200
2020-07-03,140
2020-07-04,218
2020-07-05,255
2020-07-06,221
2020-07-07,193
2020-07-08,350
2020-07-09,277
2020-07-10,252
2020-07-11,383
2020-07-12,395
2020-07-13,281
2020-07-14,266
2020-07-15,251
2020-07-16,309
2020-07-17,257
2020-07-18,339
2020-07-19,319
2020-07-20,381
2020-07-21,432
2020-07-22,387
2020-07-23,462
2020-07-24,293
2020-07-25,369
2020-07-26,384
2020-07-27,501
2020-07-28,409
2020-07-29,617
2020-07-30,397
2020-07-31,430
2020-08-01,368
2020-08-02,377
2020-08-03,472
2020-08-04,410
2020-08-05,354
2020-08-06,556
2020-08-07,665
2020-08-08,686
2020-08-09,440
2020-08-10,433
2020-08-11,462
2020-08-12,529
2020-08-13,608
2020-08-14,538
2020-08-15,583
2020-08-16,518
2020-08-17,552
2020-08-18,513
2020-08-19,551
2020-08-20,594
2020-08-21,657
2020-08-22,588
2020-08-23,614
2020-08-24,633
2020-08-25,638
2020-08-26,713
2020-08-27,760
2020-08-28,869
2020-08-29,861
2020-08-30,1094
2020-08-31,1049
2020-09-01,901
2020-09-02,1054
2020-09-03,1359
2020-09-04,880
2020-09-05,877
2020-09-06,1176
2020-09-07,1046
2020-09-08,1014
2020-09-09,1004
2020-09-10,1274
2020-09-11,964
2020-09-12,1205
2020-09-13,1380
2020-09-14,879
2020-09-15,1076
2020-09-16,1294
2020-09-17,1113
2020-09-18,1258
2020-09-19,988
2020-09-20,1138
2020-09-21,1352
2020-09-22,1236
2020-09-23,1135
2020-09-24,1044
2020-09-25,1171
2020-09-26,1323
2020-09-27,1217
2020-09-28,898
2020-09-29,1238
2020-09-30,1159
2020-10-01,1253
2020-10-02,1198
2020-10-03,1265
2020-10-04,1398
2020-10-05,1022
2020-10-06,1106
2020-10-07,1211
2020-10-08,1182
2020-10-09,943
2020-10-10,1259
2020-10-11,1389
2020-10-12,1211
2020-10-13,1054
2020-10-14,1038
2020-10-15,1072
2020-10-16,1045
2020-10-17,974
2020-10-18,971
2020-10-19,926
2020-10-20,964
2020-10-21,1000
2020-10-22,989
2020-10-23,952
2020-10-24,1062
2020-10-25,771
2020-10-26,906
2020-10-27,781
2020-10-28,844
2020-10-29,713
2020-10-30,612
2020-10-31,750
2020-11-01,608
2020-11-02,1024
2020-11-03,617
2020-11-04,768
2020-11-05,797
2020-11-06,672
2020-11-07,1118
2020-11-08,826
2020-11-09,716
2020-11-10,1013
2020-11-11,587
2020-11-12,831
2020-11-13,1033
2020-11-14,1255
2020-11-15,1164
2020-11-16,1006
2020-11-17,1037
2020-11-18,1148
2020-11-19,1185
2020-11-20,1240
2020-11-21,1579
2020-11-22,1342
2020-11-23,1009
2020-11-24,1015
2020-11-25,1273
2020-11-26,1064
2020-11-27,1436
2020-11-28,1370
2020-11-29,1431
2020-11-30,1099
2020-12-01,1058
2020-12-02,1166
2020-12-03,1153
2020-12-04,1032
2020-12-05,1360
2020-12-06,1331
2020-12-07,1466
2020-12-08,1194
2020-12-09,1217
2020-12-10,1180
2020-12-11,1232
2020-12-12,951
2020-12-13,1298
2020-12-14,1506
2020-12-15,1116
2020-12-16,1221
2020-12-17,1690
2020-12-18,1587
2020-12-19,1899
2020-12-20,1592
2020-12-21,1466
2020-12-22,1311
2020-12-23,1954
2020-12-24,1933
2020-12-25,2096
2020-12-26,2058
2020-12-27,1997
2020-12-28,1678
2020-12-29,2056
2020-12-30,2053
2020-12-31,2022
2021-01-01,1956
2021-01-02,1894
2021-01-03,1658
2021-01-04,1832
2021-01-05,1824
2021-01-06,2402
2021-01-07,2398
2021-01-08,2959
2021-01-09,2753
2021-01-10,2711
2021-01-11,2461
2021-01-12,2669
2021-01-13,3476
2021-01-14,3165
2021-01-15,2541
2021-01-16,3536
2021-01-17,3395
2021-01-18,2361
2021-01-19,2563
2021-01-20,3786
2021-01-21,3151
2021-01-22,3791
2021-01-23,3285
2021-01-24,3512
2021-01-25,2451
2021-01-26,2313
2021-01-27,1836
2021-01-28,2889
2021-01-29,3448
2021-01-30,3491
2021-01-31,3474
2021-02-01,3614
2021-02-02,3362
2021-02-03,3567
2021-02-04,3632
2021-02-05,3340
2021-02-06,2379
2021-02-07,4212
2021-02-08,3142
2021-02-09,3437
2021-02-10,3308
2021-02-11,2513
2021-02-12,3807
2021-02-13,3016
2021-02-14,2497
2021-02-15,1879
2021-02-16,1861
2021-02-17,1446
2021-02-18,373
2021-02-19,1920
2021-02-20,2872
2021-02-21,2725
2021-02-22,2465
2021-02-23,782
2021-02-24,782
2021-02-25,1581
2021-02-26,1662
2021-02-27,1736
2021-02-28,2098
2021-03-01,2058
2021-03-02,577
2021-03-03,1437
2021-03-04,2009
2021-03-05,1160
2021-03-06,1615
2021-03-07,1835
2021-03-08,1783
2021-03-09,867
2021-03-10,1046
2021-03-11,1754
2021-03-12,1872
2021-03-13,1034
2021-03-14,1204
2021-03-15,1555
2021-03-16,835
2021-03-17,1330
2021-03-18,1719
2021-03-19,1588
2021-03-20,1935
2021-03-21,1638
2021-03-22,1474
2021-03-23,816
2021-03-24,890
2021-03-25,1727
2021-03-26,1381
2021-03-27,1354
2021-03-28,1470
2021-03-29,1014
2021-03-30,384
2021-03-31,965
2021-04-01,1337
2021-04-02,1240
2021-04-03,1098
2021-04-04,736
2021-04-05,523
2021-04-06,487
2021-04-07,862
2021-04-08,1238
2021-04-09,1013
2021-04-10,977
2021-04-11,1031
2021-04-12,692
2021-04-13,828
2021-04-14,661
2021-04-15,1330
2021-04-16,980
2021-04-17,1037
2021-04-18,950
2021-04-19,973
2021-04-20,460
2021-04-21,602
2021-04-22,1266
2021-04-23,884
2021-04-24,907
2021-04-25,896
2021-04-26,748
2021-04-27,394
2021-04-28,639
2021-04-29,987
2021-04-30,789
2021-05-01,926
2021-05-02,854
2021-05-03,757
2021-05-04,416
2021-05-05,845
2021-05-06,906
2021-05-07,783
2021-05-08,732
2021-05-09,809
2021-05-10,694
2021-05-11,406
2021-05-12,656
2021-05-13,785
2021-05-14,632
2021-05-15,227
2021-05-16,161
2021-05-17,421
2021-05-18,219
2021-05-19,611
2021-05-20,895
2021-05-21,856
2021-05-22,932
2021-05-23,867
2021-05-24,819
2021-05-25,384
2021-05-26,617
2021-05-27,940
2021-05-28,602
2021-05-29,898
2021-05-30,1064
2021-05-31,726
2021-06-01,519
2021-06-02,602
2021-06-03,715
2021-06-04,906
2021-06-05,1317
2021-06-06,1019
2021-06-07,1197
2021-06-08,755
2021-06-09,1376
2021-06-10,2091
2021-06-11,2293
2021-06-12,2455
2021-06-13,2769
2021-06-14,2722
2021-06-15,1502
2021-06-16,2376
2021-06-17,4144
2021-06-18,4737
2021-06-19,4894
2021-06-20,5582
2021-06-21,5014
2021-06-22,3220
2021-06-23,4693
2021-06-24,7505
2021-06-25,6934
2021-06-26,9271
2021-06-27,9393
2021-06-28,8348
2021-06-29,7379
2021-06-30,7680
2021-07-01,7541
2021-07-02,9399
2021-07-03,9701
2021-07-04,10485
2021-07-05,10902
2021-07-06,9439
2021-07-07,9365
2021-07-08,12974
2021-07-09,13111
2021-07-10,12920
2021-07-11,13133
2021-07-12,14622
2021-07-13,12183
2021-07-14,12669
2021-07-15,12691
2021-07-16,12416
2021-07-17,10168
2021-07-18,9129
2021-07-19,5000
2021-07-20,6213
2021-07-21,5904
2021-07-22,7060
2021-07-23,8033
2021-07-24,8359
2021-07-25,5394
2021-07-26,2662
2021-07-27,3567
2021-07-28,5525
2021-07-29,3845
2021-07-30,3454
2021-07-31,3328
2021-08-01,2701
2021-08-02,1410
2021-08-03,1601
2021-08-04,2981
2021-08-05,2312
2021-08-06,2185
2021-08-07,2008
2021-08-08,1649
2021-08-09,727
2021-08-10,1426
2021-08-11,1957
2021-08-12,1080
2021-08-13,1210
2021-08-14,1363
2021-08-15,1182
2021-08-16,513
2021-08-17,654
2021-08-18,1029
2021-08-19,731
2021-08-20,968
2021-08-21,891
2021-08-22,702
2021-08-23,485
2021-08-24,484
2021-08-25,789
2021-08-26,574
2021-08-27,635
2021-08-28,468
2021-08-29,474
2021-08-30,341
2021-08-31,399
2021-09-01,673
2021-09-02,430
2021-09-03,343
2021-09-04,360
2021-09-05,303
