date,daily_case
2020-03-03,1
2020-03-04,1
2020-03-05,1
2020-03-06,1
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,1
2020-03-13,4
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,11
2020-03-18,4
2020-03-19,5
2020-03-20,16
2020-03-21,5
2020-03-22,3
2020-03-23,6
2020-03-24,2
2020-03-25,5
2020-03-26,5
2020-03-27,16
2020-03-28,19
2020-03-29,27
2020-03-30,19
2020-03-31,7
2020-04-01,20
2020-04-02,15
2020-04-03,2
2020-04-04,20
2020-04-05,6
2020-04-06,10
2020-04-07,76
2020-04-08,22
2020-04-09,12
2020-04-10,10
2020-04-11,29
2020-04-12,17
2020-04-13,59
2020-04-14,4
2020-04-15,30
2020-04-16,7
2020-04-17,42
2020-04-18,11
2020-04-19,50
2020-04-20,7
2020-04-21,8
2020-04-22,4
2020-04-23,18
2020-04-24,71
2020-04-25,18
2020-04-26,10
2020-04-27,34
2020-04-28,1
2020-04-29,20
2020-04-30,1
2020-05-01,1
2020-05-02,32
2020-05-03,11
2020-05-04,179
2020-05-05,40
2020-05-06,6
2020-05-07,43
2020-05-08,608
2020-05-09,35
2020-05-10,3
2020-05-11,58
2020-05-12,50
2020-05-13,7
2020-05-14,12
2020-05-15,36
2020-05-16,17
2020-05-17,52
2020-05-18,26
2020-05-19,25
2020-05-20,120
2020-05-21,63
2020-05-22,67
2020-05-23,64
2020-05-24,32
2020-05-25,16
2020-05-26,33
2020-05-27,30
2020-05-28,40
2020-05-29,56
2020-05-30,33
2020-05-31,10
2020-06-01,8
2020-06-02,26
2020-06-03,3
2020-06-04,11
2020-06-05,22
2020-06-06,8
2020-06-07,34
2020-06-08,26
2020-06-09,26
2020-06-10,49
2020-06-11,36
2020-06-12,20
2020-06-13,23
2020-06-14,22
2020-06-15,41
2020-06-16,25
2020-06-17,39
2020-06-18,55
2020-06-19,64
2020-06-20,19
2020-06-21,26
2020-06-22,31
2020-06-23,50
2020-06-24,50
2020-06-25,59
2020-06-26,39
2020-06-27,19
2020-06-28,28
2020-06-29,65
2020-06-30,43
2020-07-01,68
2020-07-02,63
2020-07-03,37
2020-07-04,83
2020-07-05,108
2020-07-06,128
2020-07-07,102
2020-07-08,103
2020-07-09,972
2020-07-10,118
2020-07-11,73
2020-07-12,45
2020-07-13,76
2020-07-14,62
2020-07-15,80
2020-07-16,55
2020-07-17,57
2020-07-18,67
2020-07-19,24
2020-07-20,63
2020-07-21,63
2020-07-22,45
2020-07-23,53
2020-07-24,100
2020-07-25,66
2020-07-26,59
2020-07-27,58
2020-07-28,158
2020-07-29,120
2020-07-30,131
2020-07-31,48
2020-08-01,65
2020-08-02,79
2020-08-03,68
2020-08-04,122
2020-08-05,140
2020-08-06,89
2020-08-07,148
2020-08-08,247
2020-08-09,177
2020-08-10,96
2020-08-11,106
2020-08-12,125
2020-08-13,176
2020-08-14,290
2020-08-15,266
2020-08-16,72
2020-08-17,61
2020-08-18,92
2020-08-19,116
2020-08-20,223
2020-08-21,85
2020-08-22,193
2020-08-23,78
2020-08-24,139
2020-08-25,271
2020-08-26,178
2020-08-27,183
2020-08-28,583
2020-08-29,297
2020-08-30,96
2020-08-31,177
2020-09-01,273
2020-09-02,192
2020-09-03,214
2020-09-04,412
2020-09-05,232
2020-09-06,114
2020-09-07,206
2020-09-08,351
2020-09-09,322
2020-09-10,380
2020-09-11,268
2020-09-12,309
2020-09-13,147
2020-09-14,207
2020-09-15,449
2020-09-16,350
2020-09-17,406
2020-09-18,486
2020-09-19,498
2020-09-20,466
2020-09-21,481
2020-09-22,623
2020-09-23,497
2020-09-24,751
2020-09-25,464
2020-09-26,425
2020-09-27,498
2020-09-28,559
2020-09-29,434
2020-09-30,547
2020-10-01,582
2020-10-02,646
2020-10-03,409
2020-10-04,310
2020-10-05,606
2020-10-06,566
2020-10-07,810
2020-10-08,618
2020-10-09,520
2020-10-10,282
2020-10-11,247
2020-10-12,276
2020-10-13,604
2020-10-14,467
2020-10-15,597
2020-10-16,507
2020-10-17,491
2020-10-18,270
2020-10-19,541
2020-10-20,487
2020-10-21,597
2020-10-22,761
2020-10-23,505
2020-10-24,402
2020-10-25,398
2020-10-26,464
2020-10-27,424
2020-10-28,427
2020-10-29,425
2020-10-30,354
2020-10-31,469
2020-11-01,239
2020-11-02,325
2020-11-03,517
2020-11-04,571
2020-11-05,667
2020-11-06,628
2020-11-07,444
2020-11-08,510
2020-11-09,328
2020-11-10,792
2020-11-11,665
2020-11-12,832
2020-11-13,788
2020-11-14,887
2020-11-15,447
2020-11-16,629
2020-11-17,880
2020-11-18,512
2020-11-19,580
2020-11-20,1028
2020-11-21,474
2020-11-22,498
2020-11-23,718
2020-11-24,506
2020-11-25,815
2020-11-26,828
2020-11-27,758
2020-11-28,510
2020-11-29,354
2020-11-30,525
2020-12-01,971
2020-12-02,748
2020-12-03,1724
2020-12-04,1075
2020-12-05,907
2020-12-06,1356
2020-12-07,1163
2020-12-08,898
2020-12-09,1061
2020-12-10,977
2020-12-11,1194
2020-12-12,1287
2020-12-13,892
2020-12-14,730
