date,daily_case
2020-03-08,1
2020-03-09,0
2020-03-10,0
2020-03-11,2
2020-03-12,0
2020-03-13,0
2020-03-14,2
2020-03-15,1
2020-03-16,1
2020-03-17,1
2020-03-18,3
2020-03-19,2
2020-03-20,4
2020-03-21,1
2020-03-22,1
2020-03-23,3
2020-03-24,3
2020-03-25,23
2020-03-26,4
2020-03-27,8
2020-03-28,15
2020-03-29,11
2020-03-30,17
2020-03-31,15
2020-04-01,19
2020-04-02,5
2020-04-03,19
2020-04-04,15
2020-04-05,3
2020-04-06,19
2020-04-07,8
2020-04-08,15
2020-04-09,11
2020-04-10,2
2020-04-11,7
2020-04-12,57
2020-04-13,13
2020-04-14,81
2020-04-15,25
2020-04-16,15
2020-04-17,14
2020-04-18,38
2020-04-19,24
2020-04-20,7
2020-04-21,104
2020-04-22,40
2020-04-23,68
2020-04-24,41
2020-04-25,52
2020-04-26,38
2020-04-27,22
2020-04-28,22
2020-04-29,41
2020-04-30,19
2020-05-01,28
2020-05-02,28
2020-05-03,16
2020-05-04,27
2020-05-05,51
2020-05-06,54
2020-05-07,15
2020-05-08,45
2020-05-09,31
2020-05-10,23
2020-05-11,3
2020-05-12,18
2020-05-13,36
2020-05-14,59
2020-05-15,48
2020-05-16,43
2020-05-17,25
2020-05-18,15
2020-05-19,25
2020-05-20,25
2020-05-21,28
2020-05-22,34
2020-05-23,69
2020-05-24,24
2020-05-25,10
2020-05-26,10
2020-05-27,17
2020-05-28,17
2020-05-29,19
2020-05-30,29
2020-05-31,45
2020-06-01,27
2020-06-02,36
2020-06-03,40
2020-06-04,46
2020-06-05,77
2020-06-06,63
2020-06-07,82
2020-06-08,100
2020-06-09,54
2020-06-10,175
2020-06-11,63
2020-06-12,59
2020-06-13,101
2020-06-14,128
2020-06-15,149
2020-06-16,83
2020-06-17,144
2020-06-18,83
2020-06-19,120
2020-06-20,151
2020-06-21,130
2020-06-22,88
2020-06-23,99
2020-06-24,122
2020-06-25,145
2020-06-26,241
2020-06-27,239
2020-06-28,208
2020-06-29,250
2020-06-30,201
2020-07-01,220
2020-07-02,195
2020-07-03,166
2020-07-04,145
2020-07-05,237
2020-07-06,219
2020-07-07,202
2020-07-08,247
2020-07-09,180
2020-07-10,154
2020-07-11,170
2020-07-12,121
2020-07-13,166
2020-07-14,138
2020-07-15,355
2020-07-16,304
2020-07-17,321
2020-07-18,325
2020-07-19,361
2020-07-20,408
2020-07-21,197
2020-07-22,385
2020-07-23,340
2020-07-24,160
2020-07-25,222
2020-07-26,94
2020-07-27,212
2020-07-28,185
2020-07-29,314
2020-07-30,165
2020-07-31,235
2020-08-01,143
2020-08-02,73
2020-08-03,96
2020-08-04,60
2020-08-05,148
2020-08-06,116
2020-08-07,232
2020-08-08,87
2020-08-09,140
2020-08-10,68
2020-08-11,86
2020-08-12,181
2020-08-13,204
2020-08-14,192
2020-08-15,132
2020-08-16,168
2020-08-17,36
2020-08-18,118
2020-08-19,135
2020-08-20,173
2020-08-21,94
2020-08-22,105
2020-08-23,188
2020-08-24,153
2020-08-25,200
2020-08-26,148
2020-08-27,253
2020-08-28,244
2020-08-29,182
2020-08-30,140
2020-08-31,179
2020-09-01,202
2020-09-02,266
2020-09-03,242
2020-09-04,191
2020-09-05,261
2020-09-06,233
